game,game_url,tags,platforms,final price,original_price
Cyclo Chambers,https://store.steampowered.com/app/2146180/Cyclo_Chambers/?snr=1_239_new__tab-AllNewReleases,"Action Roguelike, Twin Stick Shooter, Bullet Hell, Roguelite",Windows,COL$ 12.150,COL$ 13.500
Speedonauts : Jetpack Speedrun Skiing,https://store.steampowered.com/app/2064700/Speedonauts__Jetpack_Speedrun_Skiing/?snr=1_239_new__tab-AllNewReleases,"Racing, Difficult, Arcade, Fast-Paced",Windows,COL$ 16.800,COL$ 21.000
Like a Dragon: Ishin!,https://store.steampowered.com/app/1805480/Like_a_Dragon_Ishin/?snr=1_239_new__tab-AllNewReleases,"Action, Adventure, Beat 'em up, Action-Adventure",Windows,COL$ 200.000,None
Grim Tales: Horizon of Wishes,https://store.steampowered.com/app/2314080/Grim_Tales_Horizon_of_Wishes/?snr=1_239_new__tab-AllNewReleases,"Adventure, Casual, Point & Click, Exploration",Windows,COL$ 18.500,None
Pick Up The Waste,https://store.steampowered.com/app/2286690/Pick_Up_The_Waste/?snr=1_239_new__tab-AllNewReleases,"Simulation, Puzzle, Hand-drawn, Relaxing",Windows,COL$ 5.500,None
CHERNOBYL - Death May Die,https://store.steampowered.com/app/2151860/CHERNOBYL__Death_May_Die/?snr=1_239_new__tab-AllNewReleases,"Hidden Object, Puzzle, First-Person, Alternate History",Windows,COL$ 1.680,COL$ 2.800
Like a Dragon: Ishin!,https://store.steampowered.com/app/1805480/Like_a_Dragon_Ishin/?snr=1_239_new__tab-AllNewReleases,"Action, Adventure, Beat 'em up, Action-Adventure",Windows,COL$ 200.000,None
Comic Company Manager,https://store.steampowered.com/app/1612950/Comic_Company_Manager/?snr=1_239_new__tab-AllNewReleases,"Time Management, Sandbox, Building, Capitalism",Windows,COL$ 28.500,None
Magnetik,https://store.steampowered.com/app/2303730/Magnetik/?snr=1_239_new__tab-AllNewReleases,"Adventure, Strategy, Puzzle, Action-Adventure",Windows,COL$ 37.500,None
Akka Arrh,https://store.steampowered.com/app/2005680/Akka_Arrh/?snr=1_239_new__tab-AllNewReleases,"Bullet Hell, Shoot 'Em Up, Top-Down Shooter, Shooter",Windows,COL$ 47.500,None
Hidden Post-Apocalyptic 2 Top-Down 3D,https://store.steampowered.com/app/2312510/Hidden_PostApocalyptic_2_TopDown_3D/?snr=1_239_new__tab-AllNewReleases,"Action, Adventure, Casual, Racing","Windows, Mac OS, Linux",COL$ 258.000,COL$ 430.000
Hidden World 3 Top-Down 3D,https://store.steampowered.com/app/2312500/Hidden_World_3_TopDown_3D/?snr=1_239_new__tab-AllNewReleases,"Action, Adventure, Casual, RPG","Windows, Mac OS, Linux",COL$ 128.400,COL$ 214.000
Engine Evolution 2022,https://store.steampowered.com/app/1871990/Engine_Evolution_2022/?snr=1_239_new__tab-AllNewReleases,"Action, Racing, PvP, Quick-Time Events",Windows,Free To Play,None
Poly Jigsaw: Cats,https://store.steampowered.com/app/2313530/Poly_Jigsaw_Cats/?snr=1_239_new__tab-AllNewReleases,"Casual, Side Scroller, 2D, Cute",Windows,COL$ 3.300,COL$ 5.500
Kleebuu Craves Fruit Salad,https://store.steampowered.com/app/2126980/Kleebuu_Craves_Fruit_Salad/?snr=1_239_new__tab-AllNewReleases,"Puzzle Platformer, Atmospheric, Horror, Precision Platformer",Windows,Free To Play,None
The Final Matrix (CPC/Spectrum),https://store.steampowered.com/app/2304520/The_Final_Matrix_CPCSpectrum/?snr=1_239_new__tab-AllNewReleases,"Retro, Shoot 'Em Up, Top-Down Shooter, Puzzle",Windows,COL$ 9.900,COL$ 11.000
SpiderAttack,https://store.steampowered.com/app/2313210/SpiderAttack/?snr=1_239_new__tab-AllNewReleases,"Action, Arcade, 2D Platformer, 2D",Windows,COL$ 2.800,None
Boundary Walls,https://store.steampowered.com/app/2281390/Boundary_Walls/?snr=1_239_new__tab-AllNewReleases,"Casual, Platformer, 2D Platformer, 2D",Windows,COL$ 2.240,COL$ 2.800
GRADIENT,https://store.steampowered.com/app/2309530/GRADIENT/?snr=1_239_new__tab-AllNewReleases,"Stylized, Arena Shooter, Open World, Exploration",Windows,COL$ 38.000,COL$ 47.500
Golgotha,https://store.steampowered.com/app/2308650/Golgotha/?snr=1_239_new__tab-AllNewReleases,"Simulation, First-Person, Realistic, Atmospheric",Windows,Free To Play,None
Size story,https://store.steampowered.com/app/2297200/Size_story/?snr=1_239_new__tab-AllNewReleases,"Adventure, Action-Adventure, Puzzle, Roguelike",Windows,COL$ 5.500,None
Bad Hop Baseball,https://store.steampowered.com/app/2285430/Bad_Hop_Baseball/?snr=1_239_new__tab-AllNewReleases,"Casual, Sports, Arcade, Turn-Based Tactics",Windows,COL$ 22.100,COL$ 26.000
Connected Hearts: The Musketeers Saga Collector's Edition,https://store.steampowered.com/app/2295530/Connected_Hearts_The_Musketeers_Saga_Collectors_Edition/?snr=1_239_new__tab-AllNewReleases,"Inventory Management, Story Rich, Hidden Object, Puzzle",Windows,COL$ 35.000,None
Classic Car Simulator: Car Driving,https://store.steampowered.com/app/2308920/Classic_Car_Simulator_Car_Driving/?snr=1_239_new__tab-AllNewReleases,"Action, Simulation, Racing, Indie",Windows,COL$ 2.380,COL$ 2.800
